text,label

"Harry Potter, the young wizard with a lightning scar, entered Hogwarts with wonder.",harry_potter
"At Hogwarts School of Witchcraft and Wizardry, magic and mystery abound.",harry_potter
"The enchanted corridors of Hogwarts held secrets only known to true wizards.",harry_potter
"Harry, Ron, and Hermione embarked on a perilous adventure against dark forces.",harry_potter
"Magic flowed through every stone of the ancient castle, echoing tales of old.",harry_potter
"The Sorting Hat deliberated before placing Harry into Gryffindor.",harry_potter
"Hogwarts' towering spires reached toward the sky, a beacon of magical knowledge.",harry_potter
"Professor Dumbledore, with his wise eyes, watched over the students with care.",harry_potter
"The Forbidden Forest, dark and full of dangers, loomed on the edge of the school grounds.",harry_potter
"Hermione's sharp mind often saved the day when danger arose.",harry_potter
"Ron’s loyalty to his friends never wavered, even in the face of evil.",harry_potter
"In the grand Great Hall, the candles floated above the students' heads, casting a warm glow.",harry_potter
"Harry’s broomstick soared through the air as he played in his first Quidditch match.",harry_potter
"The dark mark appeared in the sky, signaling the return of a terrible threat.",harry_potter
"The Triwizard Tournament brought unexpected challenges and fierce competitors.",harry_potter
"Voldemort’s power grew stronger, and Harry knew the final battle was near.",harry_potter
"The Marauder's Map revealed secret paths that even the professors didn’t know about.",harry_potter
"The Weasley twins' mischievous inventions brought laughter and chaos to Hogwarts.",harry_potter
"A magical creature known as Buckbeak became both friend and protector.",harry_potter
"Hogwarts' library was filled with endless rows of ancient, spell-bound books.",harry_potter
"The Yule Ball was a night of enchantment, where students danced under the stars.",harry_potter
"Harry, despite his fame, longed for a simple life outside the spotlight.",harry_potter
"The Chamber of Secrets, hidden deep beneath the school, held a terrible secret.",harry_potter
"A magical diary linked Harry to a dangerous past, leading him into a confrontation.",harry_potter
"The Invisibility Cloak allowed Harry to move unseen through the castle's hallways.",harry_potter
"Hogwarts' many ghosts, like Nearly Headless Nick, made their presence known at odd times.",harry_potter
"The Defense Against the Dark Arts classroom was never lacking in excitement.",harry_potter
"Professor Snape, with his stern demeanor, kept the students on edge.",harry_potter
"The Weasley family’s warmth and kindness provided Harry with a second home.",harry_potter
"The magical creature known as a house-elf, like Dobby, had its own deep stories.",harry_potter
"The Whomping Willow, with its powerful branches, could be both friend and foe.",harry_potter
"Voldemort’s Death Eaters worked in the shadows, spreading fear throughout the wizarding world.",harry_potter
"The prophecy foretold Harry's role in the ultimate battle between good and evil.",harry_potter
"The Deathly Hallows, legendary objects of great power, beckoned to Harry and his friends.",harry_potter
"The battle at Hogwarts was a turning point in the war against dark forces.",harry_potter
"Through love and sacrifice, Harry overcame the greatest challenges that threatened his world.",harry_potter
"The ancient wizarding families held much power, but sometimes hid dangerous secrets.",harry_potter
"Harry’s connection with the mysterious and powerful phoenix, Fawkes, became key to his survival.",harry_potter
"The Mirror of Erised showed Harry his deepest desires—his family, long lost to him.",harry_potter
"The Half-Blood Prince’s potion book revealed dangerous, yet powerful, spells.",harry_potter
"The prophecy, spoken by Sybill Trelawney, foretold a crucial moment in the war against darkness.",harry_potter
"The Triwizard Cup was a symbol of courage, but also a dangerous trap.",harry_potter
"Dobby’s sacrifice in the battle against evil became a pivotal moment in the story.",harry_potter
"The Dark Lord’s return caused an upheaval in the wizarding world, breaking old alliances.",harry_potter
"The first year students were in awe of the magical creatures and wonders that surrounded them.",harry_potter
"Harry’s scar, a permanent mark of his past, constantly reminded him of his connection to dark forces.",harry_potter
"The basilisk hidden in the Chamber of Secrets became a lethal threat to the students of Hogwarts.",harry_potter
"The Forbidden Forest was the setting for many unexpected and dangerous encounters.",harry_potter
"Luna Lovegood, with her eccentric beliefs, was a unique ally to Harry and his friends.",harry_potter
"Hogwarts’ grounds were full of magical creatures, like the hippogriff and the giant squid.",harry_potter
"The Triwizard Tournament’s tasks tested the courage and resilience of its champions.",harry_potter
