text,label
The quick brown fox jumps over the lazy dog.,non-sql
SELECT COUNT(*) FROM users;,sql
Congratulations! You've won a free vacation.,non-sql
INSERT INTO products (name) VALUES ('john@example.com');,sql
SELECT price FROM products ORDER BY department_id DESC;,sql
"Buy one, get one free! Limited time offer.",non-sql
INSERT INTO employees (email) VALUES ('1');,sql
"In a galaxy far, far away...",non-sql
"Once upon a time, there was a brave knight.",non-sql
The quick brown fox jumps over the lazy dog.,non-sql
SELECT * FROM users;,sql
"INSERT INTO departments (id, email) VALUES ('john@example.com', '1');",sql
The weather today is sunny with a chance of rain.,non-sql
Baking the perfect bread takes practice.,non-sql
SELECT name FROM categories ORDER BY department_id DESC;,sql
"SELECT email, price FROM departments WHERE department_id = '1';",sql
The mitochondrion is the powerhouse of the cell.,non-sql
DELETE FROM orders WHERE name = '1';,sql
"SELECT email, id FROM employees WHERE id = '1';",sql
"INSERT INTO employees (created_at, department_id, id) VALUES ('John Doe', '1', '99.99');",sql
"SELECT employees.name, products.department_id FROM employees JOIN products ON employees.name = products.department_id;",sql
"In a galaxy far, far away...",non-sql
INSERT INTO departments (id) VALUES ('99.99');,sql
Upcoming events include a concert and a festival.,non-sql
Artificial intelligence is transforming industries.,non-sql
DELETE FROM products WHERE id = '99.99';,sql
UPDATE users SET id = '3' WHERE id = '1';,sql
INSERT INTO employees (price) VALUES ('John Doe');,sql
SELECT email FROM employees ORDER BY name DESC;,sql
SELECT COUNT(*) FROM employees;,sql
DELETE FROM users WHERE created_at = 'john@example.com';,sql
The quick brown fox jumps over the lazy dog.,non-sql
SELECT * FROM categories;,sql
DELETE FROM categories WHERE price = 'John Doe';,sql
Error 404: Page not found.,non-sql
Access denied. Contact your administrator.,non-sql
SELECT COUNT(*) FROM departments;,sql
"INSERT INTO users (created_at, price, department_id) VALUES ('1', 'John Doe', '3');",sql
Follow the yellow brick road.,non-sql
Follow the yellow brick road.,non-sql
Healthy eating leads to a healthy life.,non-sql
All that glitters is not gold.,non-sql
All that glitters is not gold.,non-sql
Access denied. Contact your administrator.,non-sql
SELECT COUNT(*) FROM products;,sql
"In a galaxy far, far away...",non-sql
Upcoming events include a concert and a festival.,non-sql
Follow the yellow brick road.,non-sql
UPDATE orders SET price = '3' WHERE price = 'HR';,sql
"In a galaxy far, far away...",non-sql
SELECT * FROM users;,sql
"Once upon a time, there was a brave knight.",non-sql
"SELECT department_id, price FROM orders ORDER BY created_at DESC;",sql
"INSERT INTO users (department_id, id) VALUES ('John Doe', '99.99');",sql
DELETE FROM products WHERE price = '2024-01-01';,sql
"INSERT INTO orders (id, department_id, price) VALUES ('John Doe', '99.99', 'john@example.com');",sql
Artificial intelligence is transforming industries.,non-sql
INSERT INTO orders (department_id) VALUES ('99.99');,sql
All that glitters is not gold.,non-sql
"SELECT created_at, department_id FROM products WHERE id = '3';",sql
Welcome to the world of tomorrow!,non-sql
"In a galaxy far, far away...",non-sql
SELECT price FROM categories WHERE name = 'John Doe';,sql
"SELECT created_at, department_id, id FROM users WHERE name = 'john@example.com';",sql
Baking the perfect bread takes practice.,non-sql
Learning Python is fun and rewarding.,non-sql
Welcome to the world of tomorrow!,non-sql
SELECT * FROM employees;,sql
SELECT COUNT(*) FROM departments;,sql
The quick brown fox jumps over the lazy dog.,non-sql
Healthy eating leads to a healthy life.,non-sql
"SELECT price, name FROM users WHERE name = 'john@example.com';",sql
The quick brown fox jumps over the lazy dog.,non-sql
"SELECT orders.id, employees.name FROM orders JOIN employees ON orders.id = employees.name;",sql
Learning Python is fun and rewarding.,non-sql
"SELECT users.email, departments.created_at FROM users JOIN departments ON users.email = departments.created_at;",sql
"SELECT products.department_id, users.created_at FROM products JOIN users ON products.department_id = users.created_at;",sql
"Buy one, get one free! Limited time offer.",non-sql
UPDATE categories SET price = '99.99' WHERE price = 'Admin';,sql
"SELECT employees.price, categories.name FROM employees JOIN categories ON employees.price = categories.name;",sql
DELETE FROM categories WHERE email = '2024-01-01';,sql
Artificial intelligence is transforming industries.,non-sql
Congratulations! You've won a free vacation.,non-sql
"SELECT employees.created_at, orders.id FROM employees JOIN orders ON employees.created_at = orders.id;",sql
"SELECT price, name, department_id FROM departments WHERE name = '99.99';",sql
Call me Ishmael.,non-sql
DELETE FROM users WHERE department_id = 'john@example.com';,sql
Upcoming events include a concert and a festival.,non-sql
"SELECT email, created_at FROM users WHERE name = 'john@example.com';",sql
"In a galaxy far, far away...",non-sql
Learning Python is fun and rewarding.,non-sql
Baking the perfect bread takes practice.,non-sql
Artificial intelligence is transforming industries.,non-sql
"INSERT INTO users (price, department_id) VALUES ('John Doe', 'John Doe');",sql
"SELECT price, email FROM orders WHERE id = '3';",sql
"SELECT orders.email, users.email FROM orders JOIN users ON orders.email = users.email;",sql
SELECT * FROM categories;,sql
Error 404: Page not found.,non-sql
UPDATE users SET email = 'John Doe' WHERE email = 'Active';,sql
The weather today is sunny with a chance of rain.,non-sql
UPDATE products SET price = 'John Doe' WHERE price = 'HR';,sql
"To be, or not to be, that is the question.",non-sql
The quick brown fox jumps over the lazy dog.,non-sql
"INSERT INTO orders (price, name, created_at) VALUES ('3', '99.99', 'John Doe');",sql
DELETE FROM products WHERE id = '99.99';,sql
Congratulations! You've won a free vacation.,non-sql
"To be, or not to be, that is the question.",non-sql
"In a galaxy far, far away...",non-sql
Learning Python is fun and rewarding.,non-sql
SELECT COUNT(*) FROM departments;,sql
"SELECT name, id FROM orders WHERE email = 'john@example.com';",sql
"SELECT price, id, name FROM orders ORDER BY email DESC;",sql
The mitochondrion is the powerhouse of the cell.,non-sql
SELECT * FROM categories;,sql
SELECT * FROM departments;,sql
Welcome to the world of tomorrow!,non-sql
SELECT * FROM products;,sql
The quick brown fox jumps over the lazy dog.,non-sql
UPDATE categories SET department_id = 'John Doe' WHERE department_id = 'Pending';,sql
DELETE FROM categories WHERE department_id = '2024-01-01';,sql
The mitochondrion is the powerhouse of the cell.,non-sql
DELETE FROM categories WHERE department_id = '99.99';,sql
Baking the perfect bread takes practice.,non-sql
Healthy eating leads to a healthy life.,non-sql
Please reboot your system and try again.,non-sql
SELECT email FROM employees ORDER BY department_id DESC;,sql
UPDATE users SET email = '1' WHERE email = 'Completed';,sql
"Buy one, get one free! Limited time offer.",non-sql
Please reboot your system and try again.,non-sql
SELECT * FROM departments;,sql
"Once upon a time, there was a brave knight.",non-sql
"SELECT created_at, id FROM products WHERE email = '2024-01-01';",sql
Call me Ishmael.,non-sql
"SELECT department_id, id, email FROM departments WHERE id = 'john@example.com';",sql
UPDATE employees SET price = '1' WHERE price = '1';,sql
"SELECT department_id, name FROM employees ORDER BY price DESC;",sql
SELECT COUNT(*) FROM departments;,sql
Error 404: Page not found.,non-sql
INSERT INTO employees (created_at) VALUES ('1');,sql
SELECT created_at FROM departments ORDER BY price DESC;,sql
"SELECT categories.id, employees.department_id FROM categories JOIN employees ON categories.id = employees.department_id;",sql
"SELECT email, id, department_id FROM departments ORDER BY id DESC;",sql
SELECT COUNT(*) FROM categories;,sql
"In a galaxy far, far away...",non-sql
UPDATE categories SET department_id = 'John Doe' WHERE department_id = 'Pending';,sql
The weather today is sunny with a chance of rain.,non-sql
"SELECT name, created_at FROM categories WHERE department_id = '2024-01-01';",sql
Healthy eating leads to a healthy life.,non-sql
All that glitters is not gold.,non-sql
UPDATE orders SET email = '2024-01-01' WHERE email = '1';,sql
"To be, or not to be, that is the question.",non-sql
SELECT id FROM employees ORDER BY name DESC;,sql
SELECT * FROM products;,sql
Upcoming events include a concert and a festival.,non-sql
Artificial intelligence is transforming industries.,non-sql
SELECT * FROM products;,sql
"INSERT INTO departments (price, name) VALUES ('2024-01-01', 'John Doe');",sql
Baking the perfect bread takes practice.,non-sql
UPDATE products SET department_id = 'John Doe' WHERE department_id = 'Pending';,sql
Access denied. Contact your administrator.,non-sql
All that glitters is not gold.,non-sql
DELETE FROM orders WHERE id = '2024-01-01';,sql
SELECT created_at FROM products ORDER BY created_at DESC;,sql
Upcoming events include a concert and a festival.,non-sql
Welcome to the world of tomorrow!,non-sql
"Once upon a time, there was a brave knight.",non-sql
"INSERT INTO products (name, department_id) VALUES ('2024-01-01', '99.99');",sql
DELETE FROM departments WHERE department_id = 'John Doe';,sql
"INSERT INTO products (name, id, price) VALUES ('3', 'John Doe', '3');",sql
The quick brown fox jumps over the lazy dog.,non-sql
The mitochondrion is the powerhouse of the cell.,non-sql
Please reboot your system and try again.,non-sql
"SELECT users.id, employees.email FROM users JOIN employees ON users.id = employees.email;",sql
